0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-304.106659109052,16.95623946131545,-740.5360537723178,220.02153546407726,241.8138998967488,573.7421734885643,-113.66818192266695,-1078.4539382679816,-552.7916012663854,284.1269024343195,137.9059182279783,752.4605928479887,-84.26969110095948,677.1674392011706,-22.081690736668907,0.0
-306.4183366903104,23.89501960182463,-743.9351748668463,216.45571090631185,242.07261533036277,580.0834184963263,-110.42973911272114,-1074.1624031454792,-560.5456327141707,276.77501126245784,141.6197368386536,747.8533928204873,-82.2099858614791,672.4033177462311,-14.9261519326919,0.0
-312.46108840593087,15.905938920613231,-746.1660362033184,210.4138405894897,242.10554085551288,583.1554167978925,-106.39403206607419,-1062.1274059314846,-561.798245075645,279.2640236878203,142.30668826188707,740.8956716459363,-82.52086594746022,670.4808537503524,-4.469054254925363,0.0
-307.6003687715772,18.685360298349934,-731.5122411093901,194.8500935238911,239.08165355166912,573.7321942894372,-102.49627807530531,-1036.5931089812223,-548.3926684602175,270.1359205101857,138.49814535278193,719.5725027712357,-79.80894046780782,653.632484497124,6.845208777317407,0.0
-304.8148033394022,19.185073049482845,-721.9940699073653,184.14942968670107,237.5330465094516,568.4486526153261,-99.7170261821252,-1017.3960351881452,-541.0687578834733,264.3335191755686,136.63833645440698,704.3808245095687,-77.99384124174121,642.0247893923068,14.981399833049544,0.0
-307.50870041532676,12.310949981653259,-723.903047417475,180.92708544094154,239.0780189292486,572.92027274275,-98.16962033599214,-1006.3020131620443,-546.4880962847791,265.9772157069788,138.92011255540248,699.041646517149,-78.05229733901996,639.6688960695419,20.39051018950258,0.0
-305.36232456172445,13.753407596854872,-718.0411027648314,173.0664022149678,238.5679073354778,571.3503610444832,-96.04185012547349,-991.1595538741168,-544.5358912340553,260.32104368723355,139.00883896023686,687.3758822592513,-76.29466756460653,630.1693629396959,26.754311630463146,0.0
-307.44335629785473,13.827427532835506,-718.4571974778867,167.28061043925385,238.81760280487214,575.1236566401269,-92.83944710142087,-980.1885079607342,-548.6117089947742,256.63701777129944,141.2396772004395,679.5798620236403,-75.055552634136,624.5556424908951,34.650546316838664,0.0
-309.39434037074255,19.976471848882806,-715.2330718891197,156.14507479034745,236.55347274927232,575.3946128527256,-86.80942839668683,-966.6043358068312,-546.4926356200242,247.8544022237932,141.65460420508487,666.6259141442542,-72.59813361683716,614.3741154138435,47.85897022999681,0.0
-313.048683886669,23.005150539709266,-708.5744656341766,138.4581220422204,232.5029975033053,572.2871222056827,-77.8376155865605,-944.3487877649878,-537.5698376574333,239.43906200817023,139.76774237229003,646.7774999873407,-70.1569090215878,600.6617238967347,68.0886626645544,0.0
-304.72470218848844,41.91380916139354,-688.7958084994705,117.56131074452243,225.30889099107318,558.3585174939842,-70.88779663819564,-923.828590370203,-516.6756238126203,220.15690023764944,134.13284247663265,622.6104483026996,-65.2908214345773,577.6596014629878,82.06721606195492,0.0
-312.91988316406434,27.646998332858036,-681.816796999925,94.33812473376733,221.48396579180402,555.2511051528621,-59.57349074089022,-888.8014209651924,-504.50327380568905,221.97902123013716,130.77347611565745,597.8484875604921,-65.22795718666563,564.8862905780405,108.29350243079517,0.0
-291.09758093929827,44.99650967483008,-651.6524052835363,77.48611101579885,215.11384814941704,534.2933350011373,-59.66565907218792,-870.7024333588473,-478.4412231697459,205.52191146535233,122.97019693124109,577.5591489341103,-61.30710158669367,540.4654474466308,104.16944481909115,0.0
-305.9251776152038,5.228613564601724,-651.9097322301116,56.680464160831285,214.6951919760613,538.1498658831212,-48.837194598441684,-831.3921469787051,-472.96798018711957,225.98748538392223,121.08105946653126,558.4993824459864,-65.77728324166449,537.7577179049708,128.5083571965339,0.0
-322.8938375516062,-45.71530013071803,-653.6287882478408,34.359162934433634,216.84422379815248,545.1768075164805,-38.33396345825847,-782.6140575459813,-471.22102007020226,251.85814275078823,120.21255414216074,536.7633433381628,-71.2322904799748,535.6051818458129,154.69601983708384,0.0
-316.822973816592,-68.39075258489785,-625.9701769608499,3.179136807980437,213.73483381518022,528.1890194171486,-31.85566950896777,-730.6233696665447,-442.94783247364666,256.3282031196088,110.58727090691853,502.06936634632626,-71.64808209162581,513.7737532093437,170.2584057230736,0.0
-326.35584127095996,-95.69258596085551,-615.3073716620999,-20.486455935744434,211.45126395704906,522.555652879633,-21.175728126599225,-693.3647295986592,-427.34499746052137,267.7797676164245,105.18056583079705,479.3306961783293,-73.93127671349758,506.29532875703364,190.96462461727444,0.0
-336.3449583731323,-116.5268508797807,-605.9911669779013,-42.07575726842081,208.4624925314432,516.4050736903777,-10.556415693462087,-660.7443638148139,-412.0917380179093,275.4369663523934,100.06488509594925,457.60104460224073,-75.35686799951735,498.8532502839573,212.77011523706682,0.0
-344.3457822713944,-131.31034450093077,-594.7665501895921,-63.259908734826666,204.82395560708744,507.8653061634999,-0.6027176746468037,-628.2097987408426,-395.4245129514117,278.3990732408119,94.73432743336858,433.73194526149825,-75.62175207787175,488.54480776652025,235.32604991805766,0.0
-336.8872761485806,-123.97127761648613,-571.5221677810323,-80.04472833415927,200.04274530109694,490.1697464783315,3.383032654519695,-604.4134423176779,-374.0023035585875,266.98819675365314,88.38363759531177,410.31696436879366,-72.5806493495463,470.33098590006284,243.68643955917196,0.0
-346.00731177243887,-140.0722559312685,-573.0586102970975,-87.84707177093561,201.28622336054792,493.6548562901104,8.287274352436592,-582.9019579901799,-377.35059617984643,272.9241710434178,90.11665406377098,398.340361473171,-73.52951334181243,467.90192393342153,258.2281855177839,0.0
-340.7192900601966,-142.4985001531808,-569.901792344652,-87.16805042897072,204.75917446909295,496.2160850349038,5.006850562008485,-570.9488934915661,-386.10559334339524,270.6594599218946,94.00107047879366,392.42464356724537,-72.5508470967271,462.00420920743477,254.97550711717918,0.0
-343.87149962227886,-153.25166127425277,-572.0704660440474,-89.44252356994087,207.03214088787405,500.57756878490704,5.721836843582485,-557.7585913019523,-392.09618451953185,274.6475158051382,96.35153351870733,386.783953031319,-73.12612642772075,460.4940781012151,260.2427234952225,0.0
-343.90656851812406,-156.39240318618454,-572.5945260121815,-89.42514878819905,207.99681708835917,501.9310927940691,5.233389890423139,-554.1683994256825,-394.3493017707856,275.85895949904625,97.18588787025895,385.6041620387803,-73.30133178300072,460.0247959968686,260.55886037901365,0.0
-341.49409590616,-156.470323137137,-571.2421918425591,-88.83670865712344,208.76008894616072,501.7666904050341,3.785698894711494,-552.0909182082818,-395.441987575802,275.1995053000514,97.63795622116021,384.724861803064,-73.05955006163549,458.51781426672767,258.51458745593845,0.0
-341.57651159725776,-146.21284116627348,-563.8097313711095,-96.16541786679024,203.78792343704808,492.7757455235593,8.158453417076993,-552.4374933771264,-381.1194297079714,268.1843205885506,92.83249382721253,378.80333734057024,-71.54399283979564,453.657390829433,264.8529063255303,0.0
-343.79596539382965,-128.05821351800307,-551.3923109704076,-110.3600779332098,194.53923456573347,477.040743370712,17.21725670261718,-551.7468814201848,-355.61176911852516,255.42739172458013,84.45746174288313,366.7392648327465,-68.76743756888084,444.7794288824166,279.57996827505286,0.0
-346.89736873289104,-116.41764377848249,-540.2586790534078,-124.87563181612585,186.63693102744574,463.38795205683186,25.83034045420547,-544.7964804980998,-333.3311151844629,245.79528701636997,77.34823159736892,352.53144487054965,-66.60144943335554,435.521744691498,296.06655576950124,0.0
-327.21528919407996,-67.1770360429089,-510.2968811683547,-136.5534477223547,175.09036252455635,433.91741482052043,27.375960626874285,-553.6742679377497,-298.31709282565015,212.5012131559259,66.71890331103998,338.3308490158091,-59.14118008278011,413.3398967433181,294.9388684477256,0.0
-323.8007803973923,-30.866460327151177,-514.1648349027448,-128.76280212326841,171.4897111417311,433.55184729907444,27.095026700538938,-589.0063541155712,-300.69405119674724,195.2286737891449,68.80095217067566,351.56286710028667,-55.851049079962785,415.71361785955963,289.70794796470705,0.0
-341.33223323907464,-42.74841299664752,-525.3454695261887,-136.49813475890517,170.2524185161486,441.3331561136944,36.44119535884216,-578.667719789835,-305.24703330970056,201.5524785041703,71.22096771386167,344.7781681322168,-57.26850777085648,418.5047981449322,313.15262989208316,0.0
-326.9926284378344,-42.65643655672844,-493.84638031208334,-158.73559862281695,164.9979536508961,417.24992507913163,38.17738193211223,-534.5051839445357,-276.4872877173756,190.32339783104055,62.63124906464675,308.82004538418875,-53.914418622676784,390.02929240966444,324.95130689953675,0.0
-322.5760807993452,-102.23839671891459,-488.2432944305367,-161.18629398073958,175.48577292842475,422.14486659314593,29.944043554275606,-481.4086605616414,-288.10327710238715,220.7234358338174,66.29127089783879,293.0100506817759,-60.1237694281206,386.3479489889981,320.01347857095396,0.0
-324.2422164683173,-184.3644533057836,-504.5733133940836,-143.15716571807198,195.67367623301865,448.9713503422048,14.443607464502216,-446.66342791892043,-330.72269304294406,272.2999390873082,79.5156835534263,303.5708584595175,-71.56004451907727,405.22358305009647,295.8638129943914,0.0
-329.2923392105317,-248.21029249439826,-522.8381514456223,-121.98446449572576,212.62251305979518,474.0774595191608,1.933619412117235,-433.8132140357971,-370.04366970643133,315.9542755042412,91.47609530652713,322.9171717049247,-81.50625101317294,429.3919336015256,269.7869439333489,0.0
-346.69476904919,-284.3536003463529,-540.3076563208915,-117.77778073654241,219.1040709048633,491.58746506274986,4.356071238595086,-424.19381954025374,-390.0448966800407,339.7843200306609,97.65137195192717,329.1595903272945,-86.84688013859699,444.83985300335087,274.333562920686,0.0
-332.57570627941976,-263.68462742487964,-533.4765525855255,-111.14244566502273,217.13634022263588,483.4988656525533,-2.2134762510325987,-439.8809976025905,-384.1379048302101,329.2068384013825,95.8133405164484,334.715159948654,-84.78906395751478,440.6589456441938,261.3495625602315,0.0
-322.5899665621984,-267.8514062123528,-540.2347234849236,-91.91152292692057,220.56638920148046,485.3786065463183,-14.885552536791458,-454.1158933318964,-393.4438278622901,337.0099851975445,98.53369197897818,349.65941033781866,-87.11837172602256,447.64637200577397,243.57131442564418,0.0
-317.21316861535564,-285.67668386624706,-547.58394441027,-77.60488654330757,225.84558396061811,489.2259097811438,-26.017185626190923,-449.97576914247225,-404.45207534371343,349.41356678919334,101.7938189503485,355.32762990645807,-90.00631462143149,452.07701679386355,234.7917339705773,0.0
-320.27347338979604,-298.7283611029469,-553.6029516071836,-74.0099919830548,228.476198565005,492.21455993505884,-28.98169717604647,-438.45855316743604,-410.206951503131,355.6223955506959,103.65629967244736,351.45191231797565,-91.13363869098998,452.59422951730994,241.15607475995893,0.0
-329.48486716139223,-296.50927443633157,-556.546383242189,-80.69934206079172,226.76325985380996,489.50137776875806,-24.87695735311416,-422.2325660391335,-405.91218537107045,348.6077358511075,102.69673211060746,335.3058068415429,-88.91409514421045,445.4520779695259,266.4151619235737,0.0
-345.1494639419223,-285.2748748953495,-542.6822178238621,-105.86616181263423,213.98134871095334,466.338554023816,-8.204412912184974,-384.6712931283173,-371.7069396277497,330.03776711028996,92.37456483864182,293.8576256215968,-83.85065314870802,423.0013066370872,316.91764427963074,0.0
-367.7655549882487,-252.97400606578128,-562.8061525864375,-114.24862994980835,209.0639794493079,472.7431117647308,4.347646740339807,-415.9742130497132,-369.3914079225371,314.9368599828072,91.8992915004376,298.6672111022529,-81.11360927541712,429.9314762643854,351.73163166435876,0.0
-351.9681639718787,-198.58534147446466,-572.58988272423,-100.14393896603087,211.58619976463302,477.2401444960958,-6.916971037386317,-488.29123661352065,-376.2768078657453,295.83103721730043,93.67826708927657,334.2038045269735,-78.52251569421045,440.47943036575,329.3892242976171,0.0
-337.056384427894,-179.46194085751873,-579.828203558456,-83.18143163893002,216.9492383110915,483.64018906408427,-19.996210792723478,-535.6130249310528,-387.9760389804701,296.2677164182203,96.76889845905951,365.53693996408794,-80.05939365049045,453.5247897500881,299.6484183247382,0.0
-336.46468432546567,-175.21189477847494,-582.4585379427765,-81.0696153989758,217.6800339750384,485.55756598466235,-21.19394834440739,-544.427710441677,-390.3458851162731,295.74190845677055,97.47660846375523,370.5861906320474,-80.1803783932419,456.2437786317036,297.24840448849767,0.0
-339.2835237642731,-187.210710549757,-574.1782693364229,-86.83443791402975,214.69510357408214,478.74529382725166,-16.80729403579428,-523.9952373548115,-381.30413331800656,298.8995497539521,94.53652281353583,358.8917506620121,-80.44917332835864,451.13258860815824,302.28153435912753,0.0
-350.2661882385994,-181.42538512435848,-572.1928391137645,-92.13370094100281,209.63627814708968,474.1726207149132,-7.64296598869303,-531.3491525872888,-371.3932746299275,296.5011113058428,91.05975221240848,359.0845490275762,-80.00948192643361,455.6225215772682,309.4748706019782,0.0
-356.9356986369423,-163.47025159024633,-577.1518466733362,-92.98155302593263,208.0056762598063,475.7742414346355,-3.5424167778684965,-558.5280063638091,-369.50466035869334,290.81794577967037,90.09278873531501,370.2951671797789,-79.29595666087982,464.359235610637,311.2862118864798,0.0
-355.3907118019265,-152.2333232936497,-577.7301554388984,-93.01951306948017,208.18802657272548,475.3971082667207,-4.46159107856615,-574.5260824178173,-367.82745023211186,287.3985675391445,89.22723170269822,377.08642486036325,-78.96059920452673,467.6119401490608,308.47991172738136,0.0
-323.9544444599895,-127.37335584981541,-542.4009256449091,-96.12463082958924,203.7600121976118,445.7244343004457,-14.679060282014834,-579.31037486116,-337.9882127418414,272.61177716114986,79.02258546305113,370.7584781074034,-76.15325394820898,451.27700637138093,283.8371316870176,0.0
