,timestamp,KF_beta_est
0,0.0,0.0
1,0.2222468329999998,0.0
2,0.4339844999999975,0.0
3,0.6676655549999992,0.0
4,0.9076057589999992,0.0
5,1.1163547220000003,-9.809997820881213
6,1.3252015360000016,-9.809576037873718
7,1.5374588510000002,-9.80430933517807
8,1.7491064069999993,-9.718780942908134
9,1.9632475730000003,-9.64402242631926
10,2.179576220999998,-9.6125020197721
11,2.3884159799999978,-9.5872511510455
12,2.6031348690000016,-9.573075525999265
13,2.8268889239999986,-9.564448229293186
14,3.033113684,-9.553498367150771
15,3.249951238999998,-9.54724701003338
16,3.4589863309999984,-9.54121304488477
17,3.682329313,-9.536600375734464
18,3.891132276,-9.532880546069167
19,4.100410737999997,-9.529064662043016
20,4.309850757,-9.526127066093927
21,4.534194108999998,-9.52506200091358
22,4.777497330999999,-9.523706726960311
23,4.998792145,-9.521392896955742
24,5.215233663999999,-9.519945494068049
25,5.430633885999999,-9.52006707755986
26,5.659817978,-9.52019671055688
27,5.876032015,-9.520249218500256
28,6.103084311,-9.520233830340011
29,6.350043273999997,-9.52030890997954
30,6.558264478000002,-9.520376721800805
31,6.770904421999997,-9.520484753237204
32,6.981889366000001,-9.52052179391137
33,7.186451366,-9.520533270672273
34,7.416212087999998,-9.520433658533143
35,7.666699625,-9.5192433000327
36,7.872638884000001,-9.51817150147346
37,8.08614944,-9.516664178634544
38,8.305990366,-9.5153813499519
39,8.511107217,-9.513920317035495
40,8.720119957999998,-9.51239584967106
41,8.931832643,-9.511259493322228
42,9.150314754,-9.510098615691527
43,9.375533308999998,-9.509756705774464
44,9.586505531,-9.50919069076592
45,9.873495513000002,-9.508430790224718
46,10.124795827,-9.508275991636316
47,10.357160438,-9.50828427944694
48,10.598817419999996,-9.50832661929366
49,10.847957993999998,-9.50840920141593
50,11.084683771000002,-9.508427370749716
51,11.315647752999991,-9.508374153310507
52,11.55747066,-9.508243964847413
53,11.798891808,-9.508184127285125
54,12.045168123000003,-9.508034950431432
55,12.291279271,-9.50820909121432
56,12.538081048000002,-9.508195503571637
57,12.785872566999998,-9.508193989235194
58,13.019940603000002,-9.508169092165264
59,13.254376659000002,-9.508005691890173
60,13.494939381000002,-9.507826615972885
61,13.750617954999996,-9.507722867582636
62,13.982273288000002,-9.50749398640964
63,14.223472381,-9.507297371076984
64,14.461704121000004,-9.507047582088324
65,14.706950436,-9.506830365496848
66,14.955609269,-9.506586771955016
67,15.199880860999995,-9.506069490719772
68,15.449850158000004,-9.505995558355922
69,15.686036713,-9.505814332554928
70,15.935516639,-9.50581106034083
71,16.172765953000003,-9.50569437691968
72,16.425030508999996,-9.505914244566773
73,16.65837499,-9.505916677418098
74,16.888848582999998,-9.50591603550332
75,17.127320527000002,-9.505946618003252
76,17.361575619,-9.505884583377458
77,17.59047023,-9.505593797465083
78,17.840330823000002,-9.505303388647942
79,18.068544804,-9.504955156633471
80,18.306618786,-9.50471615785402
81,18.558890434,-9.504322986931705
82,18.808646878,-9.50384132298037
83,19.063397396,-9.503605156803802
84,19.313771322,-9.503278393891838
85,19.553774674,-9.50313974145242
86,19.78513284,-9.50285825871167
87,20.030092155,-9.502513739787966
88,20.264923358,-9.50248411769657
89,20.516457006,-9.502350925709449
90,20.753629488,-9.502172739086312
91,20.988097784,-9.50221483473261
92,21.224749395,-9.502148981895672
93,21.463242802,-9.502120810306709
94,21.698145339,-9.50203482908355
95,21.922769209,-9.501932119738315
96,22.158785635,-9.501707381112263
97,22.40544719,-9.50156857767712
98,22.656016413,-9.501453941767284
99,22.899751894,-9.501327000824215
100,23.135919986,-9.501102564798082
101,23.388426764,-9.501103904796125
102,23.627998208,-9.500982768952811
