,timestamp,Altitude
0,0.0,
1,0.1037969589233398,
2,0.2048180103302002,
3,0.2932651042938232,
4,0.3990509510040283,
5,0.4941890239715576,
6,0.6142020225524902,
7,0.715691089630127,
8,0.8127849102020264,
9,0.917754888534546,
10,1.0316379070281982,
11,1.13263201713562,
12,1.24773907661438,
13,1.3603930473327637,
14,1.463979959487915,
15,1.566741943359375,0.5
16,1.6669049263000488,0.53
17,1.7773211002349854,0.565
18,1.89280104637146,0.575
19,1.9984130859375,0.63
20,2.105873107910156,0.675
21,2.2344470024108887,0.685
22,2.358288049697876,0.74
23,2.485434055328369,0.755
24,2.615823984146118,0.81
25,2.74491810798645,0.855
26,2.8702380657196045,0.82
27,3.000788927078247,0.84
28,3.132391929626465,0.805
29,3.264394044876098,0.82
30,3.396589994430542,0.81
31,3.529337882995605,0.82
32,3.65880298614502,0.755
33,3.785515069961548,0.79
34,3.9142379760742183,0.87
35,4.044064998626709,0.88
36,4.175930023193359,0.85
37,4.310844898223877,0.815
38,4.436578035354614,0.815
39,4.5622498989105225,0.84
40,4.690252065658569,0.78
41,4.817728042602539,0.73
42,4.94438099861145,0.69
43,5.068487882614136,0.665
44,5.1950531005859375,0.655
45,5.318295001983643,0.625
46,5.445802927017212,0.645
47,5.570519924163818,0.655
48,5.691910028457642,0.65
49,5.818572044372559,0.635
50,5.945858001708984,0.615
51,6.0708630084991455,0.745
52,6.198020935058594,0.79
53,6.3289899826049805,0.945
54,6.462322950363159,1.085
55,6.598159074783325,1.165
56,6.738740921020508,1.285
57,6.87841010093689,1.485
58,7.030559062957764,1.655
59,7.178685903549194,1.82
60,7.335342884063721,1.97
61,7.490254878997803,2.175
62,7.647166013717651,2.285
63,7.817663908004761,2.4
64,8.005835056304932,2.57
65,8.19898796081543,2.705
66,8.385703086853027,2.815
67,8.56994891166687,2.9
68,8.808113098144531,2.94
69,9.05852198600769,2.975
70,9.310906887054443,3.015
71,9.55680799484253,3.12
72,9.782576084136965,3.115
73,10.030716896057127,3.045
74,10.266525983810425,3.07
75,10.503243923187256,3.07
76,10.75024700164795,3.065
77,11.077708005905151,3.17
78,11.330596923828123,3.235
79,11.579746007919312,3.23
80,11.844810009002686,3.29
81,12.173113107681274,3.125
82,12.423346042633057,3.1
83,12.741173028945925,3.135
84,13.03554105758667,3.27
85,13.287489891052246,3.33
86,13.65251088142395,3.395
87,13.985606908798218,3.435
88,14.249813079833984,3.485
89,14.577789068222046,3.56
90,14.914207935333252,3.59
91,15.162604093551636,3.545
92,15.479449033737184,3.545
93,15.728755950927734,3.48
94,15.977736949920654,3.365
95,16.29480290412903,3.015
96,16.544992923736572,2.97
97,16.80632209777832,3.0
98,17.092636108398438,3.195
99,17.341320991516113,3.34
100,17.58796501159668,3.425
101,17.952073097229004,3.51
102,18.32344698905945,3.585
103,18.695548057556152,3.585
104,19.05417490005493,3.55
105,19.420790910720825,3.55
106,19.760858058929443,3.6
107,20.11422801017761,3.505
108,20.480237007141117,3.48
109,20.75081491470337,3.355
110,21.032257080078125,3.34
111,21.280179977416992,3.32
112,21.562501907348636,3.305
113,21.86712098121643,3.395
114,22.10995602607727,3.43
115,22.35701608657837,3.38
116,22.62914204597473,3.355
117,22.8777289390564,3.455
118,23.203850030899048,3.395
119,23.574508905410767,3.385
120,23.838258981704712,3.405
121,24.19414091110229,3.41
122,24.443142890930176,3.485
123,24.69230794906616,3.515
124,24.937966108322144,3.505
125,25.212016105651852,3.505
126,25.45789408683777,3.565
127,25.77310395240784,3.48
128,26.02062487602234,3.38
129,26.27082991600037,3.225
130,26.517353057861328,3.195
131,26.76632595062256,3.19
132,27.01209306716919,3.185
133,27.259721040725708,3.195
134,27.507482051849365,3.115
135,27.75651502609253,3.15
136,28.027602910995483,3.165
137,28.268966913223267,3.14
138,28.516743898391724,3.095
139,28.766239881515503,3.17
140,29.01563501358032,3.235
141,29.26801705360413,3.34
142,29.586845874786377,3.405
143,29.9574830532074,3.335
144,30.26205801963806,3.275
145,30.51010608673096,3.205
146,30.759226083755493,3.18
147,31.00710892677307,3.15
148,31.27106499671936,3.295
149,31.51705503463745,3.305
150,31.761691093444824,3.24
151,32.00955510139465,3.28
152,32.25717210769653,3.205
153,32.506393909454346,3.175
154,32.75311589241028,3.23
155,33.00059390068054,3.33
156,33.248202085494995,3.38
157,33.49831700325012,3.38
158,33.74568009376526,3.285
159,33.992218017578125,3.17
160,34.24143695831299,3.185
161,34.48938798904419,3.255
162,34.73710107803345,3.24
163,34.983630895614624,3.3
164,35.23323702812195,3.335
165,35.48107409477234,3.25
166,35.727701902389526,3.06
167,35.977498054504395,2.885
168,36.1768798828125,2.925
169,36.36915397644043,2.88
170,36.55460596084595,2.89
171,36.74284291267395,2.895
172,36.93217706680298,2.91
173,37.11616396903992,2.925
174,37.30122590065002,2.98
175,37.5146689414978,2.995
176,37.76222610473633,3.02
177,38.01182699203491,3.15
178,38.259774923324585,3.265
179,38.50722908973694,3.295
180,38.75315594673157,3.3
181,39.0008020401001,3.22
182,39.250478982925415,3.17
183,39.49626302719116,3.11
184,39.74388408660889,3.115
185,39.99245405197144,3.135
186,40.24189591407776,3.175
187,40.488564014434814,3.145
188,40.733936071395874,3.14
189,40.98779106140137,3.08
190,41.213423013687134,3.06
191,41.4009850025177,2.99
192,41.59385299682617,3.02
193,41.78970789909363,3.035
194,41.99397802352905,3.07
195,42.178993940353394,3.06
196,42.378084897995,3.035
197,42.56414604187012,3.035
198,42.762640953063965,2.955
199,42.94982695579529,2.995
200,43.13930988311768,2.98
