,forecast,real_wind,residuals,t_plus_x
2023-09-25 16:49:02.000,1.8760218010030196,2.121,0.24497819899698037,1.3
2023-09-25 16:49:02.025,1.8925102337059732,2.139,0.24648976629402664,1.399
2023-09-25 16:49:02.050,1.9030444978698964,2.143,0.23995550213010342,1.502
2023-09-25 16:49:02.075,1.9045162932874609,2.165,0.2604837067125392,1.627
2023-09-25 16:49:02.100,1.8835445763845808,2.181,0.2974554236154192,1.732
2023-09-25 16:49:02.125,1.7892626846008337,2.199,0.40973731539916614,1.862
2023-09-25 16:49:02.150,1.672757767079471,2.171,0.4982422329205287,1.927
2023-09-25 16:49:02.175,1.7321196860171129,2.162,0.42988031398288706,1.968
2023-09-25 16:49:02.200,1.8045993294928786,2.209,0.4044006705071215,1.981
2023-09-25 16:49:02.225,2.0181202874423185,2.241,0.22287971255768158,2.004
2023-09-25 16:49:02.250,2.063330893245126,2.224,0.16066910675487422,2.016
2023-09-25 16:49:02.275,2.027173624837169,2.229,0.20182637516283108,2.026
2023-09-25 16:49:02.300,2.0309710150089453,2.252,0.2210289849910545,2.023
2023-09-25 16:49:02.325,2.0423826792662148,2.276,0.23361732073378505,2.042
2023-09-25 16:49:02.350,2.0048526637325805,2.312,0.3071473362674193,2.053
2023-09-25 16:49:02.375,1.9032205519156338,2.37,0.46677944808436633,2.095
2023-09-25 16:49:02.400,1.791519034805297,2.451,0.6594809651947031,2.105
2023-09-25 16:49:02.425,1.8983077366740162,2.491,0.5926922633259839,2.115
2023-09-25 16:49:02.450,1.9772693245137538,2.478,0.5007306754862464,2.121
2023-09-25 16:49:02.475,1.9713338361837152,2.495,0.523666163816285,2.139
2023-09-25 16:49:02.500,2.082804580339573,2.562,0.47919541966042667,2.143
2023-09-25 16:49:02.525,2.2072762577801712,2.641,0.4337237422198288,2.165
2023-09-25 16:49:02.550,2.1551548334057378,2.695,0.5398451665942621,2.181
2023-09-25 16:49:02.575,2.0999468211885075,2.731,0.6310531788114924,2.199
2023-09-25 16:49:02.600,2.0931143591302845,2.754,0.6608856408697155,2.171
2023-09-25 16:49:02.625,1.9914910667814796,2.747,0.7555089332185203,2.162
2023-09-25 16:49:02.650,1.9584222459732779,2.707,0.748577754026722,2.209
2023-09-25 16:49:02.675,2.0480608050154654,2.708,0.6599391949845348,2.241
2023-09-25 16:49:02.700,2.2234697680515714,2.727,0.5035302319484285,2.224
2023-09-25 16:49:02.725,2.414359825881254,2.736,0.321640174118746,2.229
2023-09-25 16:49:02.750,2.4547250159650074,2.732,0.27727498403499284,2.252
2023-09-25 16:49:02.775,2.4556787936876487,2.711,0.2553212063123511,2.276
2023-09-25 16:49:02.800,2.4399824268173287,2.695,0.25501757318267115,2.312
2023-09-25 16:49:02.825,2.4819611997936275,2.66,0.17803880020637264,2.37
2023-09-25 16:49:02.850,2.526683850726279,2.647,0.12031614927372081,2.451
2023-09-25 16:49:02.875,2.4175155635756287,2.582,0.16448443642437116,2.491
2023-09-25 16:49:02.900,2.354542395567921,2.565,0.21045760443207895,2.478
2023-09-25 16:49:02.925,2.4487545865470985,2.531,0.0822454134529016,2.495
2023-09-25 16:49:02.950,2.472647964319856,2.485,0.012352035680144091,2.562
2023-09-25 16:49:02.975,2.5487918551196658,2.411,-0.13779185511966574,2.641
2023-09-25 16:49:03.000,2.5896512552924893,2.357,-0.2326512552924891,2.695
2023-09-25 16:49:03.025,2.525235026489481,2.366,-0.15923502648948107,2.731
2023-09-25 16:49:03.050,2.518334659691286,2.36,-0.15833465969128602,2.754
2023-09-25 16:49:03.075,2.462727789909951,2.352,-0.11072778990995102,2.747
2023-09-25 16:49:03.100,2.4866142253600074,2.286,-0.2006142253600074,2.707
2023-09-25 16:49:03.125,2.2798292604892834,2.256,-0.023829260489283577,2.708
2023-09-25 16:49:03.150,2.334591880803214,2.244,-0.09059188080321379,2.727
2023-09-25 16:49:03.175,2.2785101339436626,2.204,-0.07451013394366246,2.736
2023-09-25 16:49:03.200,2.2180950978617338,2.165,-0.05309509786173372,2.732
2023-09-25 16:49:03.225,2.337130696016647,2.177,-0.1601306960166471,2.711
