,timestamp,KF_altitude_est
0,0.0,0.0
1,0.01124683299999979,0.0
2,0.2229844999999974,0.0
3,0.4566655549999993,0.0
4,0.6966057589999992,0.0
5,0.9053547220000003,0.4963346534778692
6,1.1142015360000015,0.4877482994413928
7,1.3264588510000002,0.4759029200112619
8,1.538106406999999,0.4690898328804683
9,1.7522475730000002,0.5727074457103777
10,1.968576220999998,0.627031822439527
11,2.177415979999998,0.6530279470296582
12,2.3921348690000017,0.7525412345991543
13,2.6158889239999987,0.7944245239650874
14,2.822113684,0.8118517078413485
15,3.038951238999998,0.8304080275995547
16,3.247986330999998,0.810800136207975
17,3.471329313,0.7948589878262755
18,3.6801322759999997,0.764759191532338
19,3.889410737999997,0.8346861955631438
20,4.098850757000001,0.8686300236908827
21,4.323194108999998,0.850526223348495
22,4.566497331000001,0.8086807249553978
23,4.787792145000001,0.7515937106428578
24,5.004233664,0.6682570564961237
25,5.219633886,0.6339847370599676
26,5.448817978000001,0.6217433101613308
27,5.665032015000001,0.65580191689843
28,5.8920843110000005,0.7336553878969198
29,6.139043273999998,0.7569173698020123
30,6.347264478000002,0.935222866166408
31,6.559904421999998,1.0989545146358497
32,6.770889366000001,1.2735992088702222
33,6.975451366000001,1.5640387689322124
34,7.205212087999999,1.7910558218586825
35,7.455699625,2.1094552662831783
36,7.661638884000001,2.254108150642346
37,7.875149440000001,2.416099041056804
38,8.094990366000001,2.554917575926462
39,8.300107217,2.699235865982347
40,8.509119958,2.8248263012076884
41,8.720832643000001,2.8646869416106027
42,8.939314754,2.966589626780153
43,9.164533309000001,2.964055557519811
44,9.375505531,3.0304273060843085
45,9.662495513000005,3.089975776664065
46,9.913795827,3.064965801032332
47,10.146160438,3.0306785912856684
48,10.387817419999996,2.952447046761016
49,10.636957994000001,2.9800508806490047
50,10.873683771000005,3.0150291702953504
51,11.104647752999993,3.0753286929937538
52,11.34647066,3.173700539579453
53,11.587891808,3.198203085624603
54,11.834168123000005,3.249923908676028
55,12.080279271,3.148127575748418
56,12.327081048000004,3.1016529024059096
57,12.574872567,3.0910881821735527
58,12.808940603000003,3.1254726229640446
59,13.043376659000005,3.2364872135315874
60,13.283939381000005,3.312386073819348
61,13.539617954999997,3.316498468725136
62,13.771273288000005,3.3801755571859964
63,14.012472381,3.399105847847172
64,14.250704121000004,3.442088182734341
65,14.495950436000001,3.446666202973806
66,14.744609269,3.462799638627446
67,14.988880860999997,3.5272597950648725
68,15.238850158000004,3.459249594331653
69,15.475036713,3.4394665465897827
70,15.724516639,3.35316811592604
71,15.961765952999999,3.313144953522264
72,16.21403050899999,3.065719057258749
73,16.447374989999993,2.976126674515543
74,16.677848582999992,2.9675315071086725
75,16.916320526999996,2.9975135323893287
76,17.150575618999994,3.1706118691417093
77,17.379470229999995,3.2848784888293023
78,17.629330822999997,3.352567965220631
79,17.857544803999996,3.403398715220211
80,18.095618786,3.41185183168798
81,18.347890434,3.464073721258759
82,18.597646878,3.486494123444298
83,18.852397395999997,3.457276999755592
84,19.102771322,3.4641645371521035
85,19.342774673999998,3.443633252056562
86,19.574132839999997,3.4444473648804004
87,19.819092155,3.4829451956381376
88,20.053923358,3.396316916588571
89,20.305457005999997,3.331833920820491
90,20.542629488,3.3389785944900128
91,20.777097784,3.2596279962532715
92,21.013749394999998,3.251399021123766
93,21.252242801999998,3.215413472406269
94,21.487145338999998,3.232053232048075
95,21.711769209,3.2309372964615126
96,21.947785635,3.30839964494527
97,22.194447189999998,3.313827833659773
98,22.445016412999998,3.293657715638319
99,22.688751894,3.291211795385871
100,22.924919986,3.3541182678734054
101,23.177426764,3.292371007182288
102,23.416998208,3.297287608218301
103,23.645573393,3.302925353455874
104,23.880215281999998,3.298979918986626
105,24.118459189,3.2765820814783857
106,24.352749763,3.3521704583308485
107,24.591669966999998,3.39151339036965
108,24.836558726,3.390039532883725
109,25.080366837,3.384599009859604
110,25.314342152,3.423121672022124
111,25.548780281,3.424653714335184
112,25.791295984999998,3.377652397699331
113,26.033587873,3.2977324635163097
114,26.282795299,3.1526983810494347
115,26.532583225,3.135720970702286
116,26.765289057999997,3.109988088267899
117,27.001826799,3.0798856379277995
118,27.251200038999997,3.07709032066305
119,27.495454169,3.035155980617886
120,27.743153353999997,3.060523453927382
121,27.992343501999997,3.0557911727532563
122,28.250878612999998,3.0827128694370534
123,28.507741039,2.986293775178832
124,28.748809463999997,3.037691432544648
125,28.983482204999998,3.085895678148104
126,29.211521538,3.14835761786762
127,29.445688168,3.207645479691243
128,29.684988129999997,3.2697134253192908
129,29.938387816,3.205783922409452
130,30.190041222999998,3.1905129444231344
131,30.414834463,3.150725114421107
132,30.650923315,3.102150552697396
133,30.893899148,3.100216912200633
134,31.126519462999998,3.147013975604513
135,31.35738387,3.241645011922638
136,31.585197906999998,3.2115590466204824
137,31.828479185,3.1725714847797817
138,32.075635999,3.196210977535579
139,32.323360055,3.1104989902185167
140,32.567880592,3.0941574420831777
141,32.804390518,3.114705570881686
142,33.050012758,3.17790704645262
143,33.282674165,3.249792712654251
144,33.511419424,3.248221306925431
145,33.75765061,3.2130914882874992
146,33.989657498,3.120968730475397
147,34.222418091,3.109079132259202
148,34.461222165,3.145805422296815
149,34.703780665000004,3.132292372616116
150,34.963419627,3.140697583499126
151,35.207031368,3.183306040952297
152,35.442720701,3.141826064729588
153,35.680687238000004,3.013410643965376
154,35.914353571,2.8917575720160107
155,36.154840534,2.8871826284512685
156,36.402858978000005,2.827124138824084
157,36.641754812,2.8500099526851685
158,36.887954015,2.86282317813539
