,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis,timestamp
2630,2024-03-15 16:45:41.734580,6.058,5.852,116.0,11.2,-5.256,2.5620000000000003,1.2579999999999998,65.75132298469543
2640,2024-03-15 16:45:41.997342,6.148,5.720000000000001,119.6,21.6,-4.984,2.808,2.2340000000000004,66.01408505439758
2650,2024-03-15 16:45:42.227740,6.0280000000000005,5.648000000000001,120.0,20.4,-4.874,2.844,2.086,66.24448299407959
2660,2024-03-15 16:45:42.476801,6.19,5.876,119.6,18.2,-5.1,2.914,1.894,66.49354386329651
2670,2024-03-15 16:45:42.723992,6.508,6.138,122.2,19.4,-5.182,3.2840000000000003,2.156,66.74073505401611
2680,2024-03-15 16:45:42.978522,6.26,5.764,123.2,23.0,-4.836,3.13,2.438,66.99526500701904
2690,2024-03-15 16:45:43.225473,6.675999999999999,6.194,117.8,21.8,-5.478,2.884,2.4479999999999995,67.24221587181091
2700,2024-03-15 16:45:43.477553,5.806,5.191999999999999,119.4,26.4,-4.5120000000000005,2.568,2.592,67.494295835495
2710,2024-03-15 16:45:43.734189,6.066,5.418,119.2,26.8,-4.723999999999999,2.646,2.7060000000000004,67.75093197822571
2720,2024-03-15 16:45:43.996632,5.982,5.6,115.6,18.2,-5.046000000000001,2.424,1.884,68.01337504386902
2730,2024-03-15 16:45:44.227725,5.787999999999999,5.456,117.0,14.8,-4.862,2.474,1.502,68.2444679737091
2740,2024-03-15 16:45:44.489375,4.991999999999999,4.648000000000001,114.6,13.2,-4.232,1.922,1.14,68.50611805915833
2750,2024-03-15 16:45:44.739408,4.272,4.272,113.8,0.0,-3.914,1.7120000000000002,0.0,68.75615096092224
2760,2024-03-15 16:45:44.990091,4.396,4.396,113.4,0.0,-4.0280000000000005,1.754,0.0,69.00683403015137
2770,2024-03-15 16:45:45.225811,5.674,5.574,109.2,4.8,-5.244000000000001,1.846,0.472,69.24255394935608
2780,2024-03-15 16:45:45.481901,6.632000000000001,6.556,110.2,3.8,-6.138,2.282,0.448,69.49864387512207
2790,2024-03-15 16:45:45.725382,5.014,4.7620000000000005,114.6,11.2,-4.326,1.98,1.006,69.74212503433228
2800,2024-03-15 16:45:45.977750,5.73,5.241999999999999,117.2,23.8,-4.666,2.392,2.302,69.99449300765991
2810,2024-03-15 16:45:46.227594,5.758,5.5200000000000005,116.2,12.4,-4.95,2.44,1.286,70.2443368434906
2820,2024-03-15 16:45:46.482409,6.3,5.848000000000001,116.4,22.0,-5.226000000000001,2.6160000000000005,2.342,70.49915194511414
2830,2024-03-15 16:45:46.750310,5.754,5.454000000000001,116.2,14.0,-4.890000000000001,2.4040000000000004,1.4460000000000002,70.76705288887024
2840,2024-03-15 16:45:46.978624,5.478,5.478,113.2,0.0,-5.038,2.152,0.0,70.9953670501709
2850,2024-03-15 16:45:47.224631,5.408,5.284000000000001,114.2,5.2,-4.818,2.164,0.534,71.2413740158081
2860,2024-03-15 16:45:47.478113,5.029999999999999,5.029999999999999,111.8,0.0,-4.662000000000001,1.888,0.0,71.4948558807373
2870,2024-03-15 16:45:47.737482,5.252,5.252,109.4,0.0,-4.944,1.7680000000000002,0.0,71.75422501564026
2880,2024-03-15 16:45:47.991282,5.444,5.134,106.2,14.6,-4.93,1.4220000000000002,1.414,72.00802493095398
2890,2024-03-15 16:45:48.226221,4.712000000000001,4.596,106.6,5.4,-4.395999999999999,1.3199999999999998,0.486,72.24296402931213
2900,2024-03-15 16:45:48.474788,5.168,4.764,106.0,17.8,-4.561999999999999,1.318,1.516,72.49153089523315
2910,2024-03-15 16:45:48.733478,4.464,4.464,109.8,0.0,-4.198,1.506,0.0,72.75022101402283
2920,2024-03-15 16:45:48.984522,5.268000000000001,4.946,105.6,15.6,-4.752000000000001,1.346,1.396,73.00126504898071
2930,2024-03-15 16:45:49.224955,5.612,5.28,107.0,15.2,-5.0360000000000005,1.564,1.476,73.2416980266571
2940,2024-03-15 16:45:49.473856,4.938,4.84,139.8,4.6,-3.1020000000000003,1.472,0.466,73.49059891700745
2950,2024-03-15 16:45:49.752840,5.369999999999999,5.158,107.2,10.2,-4.917999999999999,1.546,0.95,73.76958298683167
2960,2024-03-15 16:45:49.973019,5.62,5.388,107.6,10.2,-5.132,1.636,1.024,73.98976182937622
2970,2024-03-15 16:45:50.223143,5.794,5.664,110.2,5.4,-5.314,1.948,0.528,74.23988604545593
2980,2024-03-15 16:45:50.471354,5.57,5.57,113.0,0.0,-5.122,2.1900000000000004,0.0,74.48809695243835
2990,2024-03-15 16:45:50.730346,5.7,5.087999999999999,117.8,26.8,-4.504,2.37,2.55,74.74708890914917
3000,2024-03-15 16:45:50.973108,5.948,5.508,117.2,22.2,-4.896000000000001,2.53,2.242,74.9898509979248
3010,2024-03-15 16:45:51.224346,6.556,6.556,114.6,0.0,-5.965999999999999,2.72,0.0,75.2410888671875
3020,2024-03-15 16:45:51.488318,7.924000000000001,7.647999999999999,116.4,14.8,-6.841999999999999,3.422,2.028,75.50506091117859
3030,2024-03-15 16:45:51.734278,6.864,6.814,115.2,3.0,-6.159999999999999,2.904,0.39,75.75102090835571
3040,2024-03-15 16:45:51.980439,7.045999999999999,6.664,117.8,19.0,-5.896,3.104,2.274,75.99718189239502
3050,2024-03-15 16:45:52.228341,6.832000000000001,6.335999999999999,119.0,21.8,-5.545999999999999,3.056,2.5380000000000003,76.2450840473175
3060,2024-03-15 16:45:52.508505,6.496,5.948000000000001,121.4,23.6,-5.0760000000000005,3.08,2.612,76.5252480506897
3070,2024-03-15 16:45:52.728518,6.228,5.542,123.6,27.2,-4.616,3.064,2.8340000000000005,76.7452609539032
3080,2024-03-15 16:45:53.013809,6.168,5.464,120.2,27.6,-4.712,2.764,2.85,77.03055191040039
3090,2024-03-15 16:45:53.223902,5.638,5.217999999999999,118.0,16.8,-4.5920000000000005,2.4560000000000004,1.6800000000000002,77.24064493179321
3100,2024-03-15 16:45:53.475289,5.348,5.348,113.8,0.0,-4.892,2.15,0.0,77.49203205108643
3110,2024-03-15 16:45:53.745413,4.978,4.7700000000000005,107.6,10.4,-4.522,1.4660000000000002,0.914,77.76215600967407
3120,2024-03-15 16:45:53.987070,4.104,3.5380000000000003,98.6,22.4,-3.468,0.546,1.684,78.00381302833557
3130,2024-03-15 16:45:54.221887,3.592,3.248,102.6,15.0,-3.162,0.71,1.012,78.23863005638123
3140,2024-03-15 16:45:54.473309,3.54,3.2299999999999995,97.6,14.2,-3.1980000000000004,0.4439999999999999,0.964,78.49005198478699
3150,2024-03-15 16:45:54.733367,3.556,3.09,101.6,22.2,-3.014,0.628,1.402,78.75010991096497
3160,2024-03-15 16:45:54.999589,3.52,3.018,68.2,23.6,-2.808,-1.104,1.404,79.01633191108704
3170,2024-03-15 16:45:55.229853,2.598,2.598,89.0,0.0,-2.58,-0.06,0.0,79.24659585952759
3180,2024-03-15 16:45:55.495619,3.188,2.634,107.2,25.2,-2.51,0.78,1.42,79.51236200332642
3190,2024-03-15 16:45:55.728820,3.966,3.226,99.6,31.2,-3.184,0.5379999999999999,2.082,79.74556303024292
3200,2024-03-15 16:45:55.982561,4.298,3.982,95.6,13.4,-3.922,0.456,1.0559999999999998,79.9993040561676
3210,2024-03-15 16:45:56.230025,5.486000000000001,5.486000000000001,113.2,0.0,-5.044,2.158,0.0,80.2467679977417
3220,2024-03-15 16:45:56.477586,5.263999999999999,4.488,116.6,31.6,-4.016,2.0,2.754,80.49432897567749
3230,2024-03-15 16:45:56.723267,5.406000000000001,5.244,115.4,6.4,-4.748,2.232,0.564,80.74001002311707
3240,2024-03-15 16:45:57.019347,5.666,5.576,115.2,4.6,-5.05,2.368,0.438,81.03608989715576
3250,2024-03-15 16:45:57.222582,5.933999999999999,5.868,114.8,3.8,-5.326,2.458,0.4059999999999999,81.2393250465393
3260,2024-03-15 16:45:57.486200,5.755999999999999,5.755999999999999,113.8,0.0,-5.273999999999999,2.306,0.0,81.50294303894043
3270,2024-03-15 16:45:57.758156,5.529999999999999,5.529999999999999,112.6,0.0,-5.108,2.116,0.0,81.77489900588989
3280,2024-03-15 16:45:57.986177,5.295999999999999,5.295999999999999,111.6,0.0,-4.924,1.954,0.0,82.00291991233826
3290,2024-03-15 16:45:58.225717,4.448,4.286,109.4,6.6,-4.036,1.4260000000000002,0.548,82.24246001243591
3300,2024-03-15 16:45:58.476386,5.214,5.214,109.4,0.0,-4.912000000000001,1.7419999999999998,0.0,82.49312901496887
3310,2024-03-15 16:45:58.728320,4.82,4.228,99.0,25.2,-4.158,0.6900000000000001,2.1060000000000003,82.74506282806396
3320,2024-03-15 16:45:59.029532,4.106,3.466,100.0,23.6,-3.396,0.608,1.764,83.0462749004364
3330,2024-03-15 16:45:59.234421,4.548,3.894000000000001,97.2,27.0,-3.854,0.518,2.158,83.25116395950317
3340,2024-03-15 16:45:59.501362,3.862000000000001,3.462,93.4,15.6,-3.438,0.218,1.146,83.51810503005981
3350,2024-03-15 16:45:59.725701,4.126,3.53,98.8,22.6,-3.468,0.578,1.738,83.74244403839111
3360,2024-03-15 16:45:59.974608,3.564,3.3480000000000003,96.8,7.8,-3.312,0.4019999999999999,0.602,83.99135088920593
