Date_Time,Altitude
2024-04-18 12:04:29.462872,nan
2024-04-18 12:04:29.470806,nan
2024-04-18 12:04:29.473416,nan
2024-04-18 12:04:29.478170,nan
2024-04-18 12:04:29.484455,nan
2024-04-18 12:04:29.490885,nan
2024-04-18 12:04:29.491577,nan
2024-04-18 12:04:29.492370,nan
2024-04-18 12:04:29.493178,nan
2024-04-18 12:04:29.493976,nan
2024-04-18 12:04:29.494791,nan
2024-04-18 12:04:29.498953,nan
2024-04-18 12:04:29.499708,nan
2024-04-18 12:04:29.500368,nan
2024-04-18 12:04:29.501097,nan
2024-04-18 12:04:29.501806,nan
2024-04-18 12:04:29.502598,nan
2024-04-18 12:04:29.503278,nan
2024-04-18 12:04:29.506773,nan
2024-04-18 12:04:29.508116,nan
2024-04-18 12:04:29.513330,nan
2024-04-18 12:04:29.518351,nan
2024-04-18 12:04:29.523491,nan
2024-04-18 12:04:29.528680,nan
2024-04-18 12:04:29.538012,nan
2024-04-18 12:04:29.538953,nan
2024-04-18 12:04:29.544050,nan
2024-04-18 12:04:29.549266,nan
2024-04-18 12:04:29.554413,nan
2024-04-18 12:04:29.559616,nan
2024-04-18 12:04:29.564700,nan
2024-04-18 12:04:29.571162,nan
2024-04-18 12:04:29.575008,nan
2024-04-18 12:04:29.580132,nan
2024-04-18 12:04:29.585310,nan
2024-04-18 12:04:29.590560,nan
2024-04-18 12:04:29.597125,nan
2024-04-18 12:04:29.600768,nan
2024-04-18 12:04:29.606528,nan
2024-04-18 12:04:29.611042,nan
2024-04-18 12:04:29.616166,nan
2024-04-18 12:04:29.621938,nan
2024-04-18 12:04:29.626512,nan
2024-04-18 12:04:29.631603,nan
2024-04-18 12:04:29.636749,nan
2024-04-18 12:04:29.642241,nan
2024-04-18 12:04:29.648806,nan
2024-04-18 12:04:29.652533,nan
2024-04-18 12:04:29.657434,nan
2024-04-18 12:04:29.662555,nan
2024-04-18 12:04:29.667665,nan
2024-04-18 12:04:29.672872,nan
2024-04-18 12:04:29.678002,nan
2024-04-18 12:04:29.683614,nan
2024-04-18 12:04:29.688322,nan
2024-04-18 12:04:29.693656,nan
2024-04-18 12:04:29.698650,nan
2024-04-18 12:04:29.703730,nan
2024-04-18 12:04:29.708952,nan
2024-04-18 12:04:29.714053,nan
2024-04-18 12:04:29.719367,nan
2024-04-18 12:04:29.724369,nan
2024-04-18 12:04:29.729509,nan
2024-04-18 12:04:29.734963,nan
2024-04-18 12:04:29.739837,nan
2024-04-18 12:04:29.744914,nan
2024-04-18 12:04:29.750419,nan
2024-04-18 12:04:29.755288,nan
2024-04-18 12:04:29.760364,nan
2024-04-18 12:04:29.765693,nan
2024-04-18 12:04:29.770699,nan
