index,datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,timestamp
0,2024-04-15 15:05:32.297497,,,0.5,0.0,3.0,-1.0,0.42,0.0
1,2024-04-15 15:05:32.320634,,,0.5,0.0,3.0,-1.0,0.42,0.02313685417175293
2,2024-04-15 15:05:32.344170,,,0.5,0.0,3.0,-1.0,0.42,0.04667305946350098
3,2024-04-15 15:05:32.368170,,,0.5,0.0,3.0,-1.0,0.42,0.07067298889160156
4,2024-04-15 15:05:32.392661,,,0.5,0.0,3.0,-1.0,0.42,0.09516406059265137
5,2024-04-15 15:05:32.416210,,,0.5,0.0,3.0,-1.0,0.42,0.1187129020690918
6,2024-04-15 15:05:32.439239,,,0.5,0.0,3.0,-1.0,0.42,0.14174199104309082
7,2024-04-15 15:05:32.462304,,,0.5,0.0,3.0,-1.0,0.42,0.16480708122253418
8,2024-04-15 15:05:32.486733,,,0.5,0.0,3.0,-1.0,0.42,0.18923592567443848
9,2024-04-15 15:05:32.509745,,,0.5,0.0,3.0,-1.0,0.42,0.2122478485107422
10,2024-04-15 15:05:32.532790,,,0.5,0.0,3.0,-1.0,0.42,0.23529291152954102
11,2024-04-15 15:05:32.556435,,,0.5,0.0,3.0,-1.0,0.42,0.2589380741119385
12,2024-04-15 15:05:32.579367,,,0.5,0.0,3.0,-1.0,0.42,0.28186988830566406
13,2024-04-15 15:05:32.602540,,,0.5,0.0,3.0,-1.0,0.42,0.30504298210144043
14,2024-04-15 15:05:32.626419,,,0.5,0.0,3.0,-1.0,0.42,0.3289220333099365
15,2024-04-15 15:05:32.649025,0.5,0.5,0.5,0.0,3.0,-1.0,0.42,0.3515279293060303
16,2024-04-15 15:05:32.671586,0.5,0.5,0.5,0.0,3.0,-1.0,0.42,0.37408900260925293
17,2024-04-15 15:05:32.694652,0.5,0.5,0.5,0.0,3.0,-1.0,0.42,0.3971550464630127
