,datetime,z_tof,z_bar,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,z_hat_2,v_hat_2,alpha_1_2,alpha_0_2,d_bar,timestamp
29,2024-04-19 14:51:38.032522,0.54,0.7000000000000028,0.54,0.5384425993617188,0.6184378860185888,6.206936891374138,6.242110308519273,0.4421428571428571,0.5410057787475813,0.7933284373740224,6.79185857444447,7.563400828322197,0.1600000000000027,0.9047470092773438
30,2024-04-19 14:51:38.074339,0.51,0.7000000000000028,0.51,0.5118872682878266,-0.2728761848910966,1.4230247366064184,-4.569858818467326,0.4421428571428571,0.5094692219561351,-0.415129847621845,0.9772371269879044,-5.581092904296669,0.1900000000000028,0.9465639591217041
31,2024-04-19 14:51:38.098276,0.525,0.7000000000000028,0.525,0.5240960549180662,0.1150016163187401,3.2934423659635703,-0.3411457344848845,0.4421428571428571,0.5252056413623618,0.1521224653342003,3.455596404377318,0.0240529827613107,0.1750000000000028,0.9705009460449219
32,2024-04-19 14:51:38.121943,0.525,0.7000000000000028,0.525,0.5250652427131958,0.107638094225872,3.187461075698025,-0.5808231551643388,0.4428571428571428,0.525158015094275,0.1054485915223962,3.198949004347045,-0.5566014243311338,0.1750000000000028,0.9941680431365967
33,2024-04-19 14:51:38.154359,0.565,0.7000000000000028,0.565,0.5630650822522302,0.8928767951448338,5.645606187625594,4.97977408906474,0.4428571428571428,0.566541529132103,1.0419232435651329,5.957741635701908,5.687540054808878,0.1350000000000028,1.0265841484069824
34,2024-04-19 14:51:38.181396,0.545,0.7000000000000028,0.545,0.5469728894729723,0.3550363093688514,3.6588734459107792,0.4971916328602299,0.4428571428571428,0.5455354078330915,0.3242729146661257,3.554006765685792,0.2615906969057926,0.1550000000000027,1.0536210536956787
35,2024-04-19 14:51:38.214372,0.59,0.7000000000000028,0.59,0.5880106938381306,1.010552148430231,5.272471717646571,4.127810834585388,0.4428571428571428,0.5917655114620216,1.1382585815137238,5.495077606244528,4.6305247531430025,0.1100000000000028,1.086596965789795
36,2024-04-19 14:51:38.248170,0.585,0.7000000000000028,0.585,0.5863832343886033,0.759012626610858,4.353646106755705,2.066036035384831,0.4428571428571428,0.5862677643840505,0.7779035974485929,4.34705694625751,2.052646924727267,0.1150000000000028,1.1203949451446533
37,2024-04-19 14:51:38.281889,0.565,0.7000000000000028,0.565,0.5671893723771252,0.2955060460649379,3.1439362962094823,-0.6412957855411374,0.4428571428571428,0.565466108210589,0.2568983958019689,3.071856459532241,-0.8031797532969622,0.1350000000000028,1.154114007949829
38,2024-04-19 14:51:38.305103,0.555,0.7000000000000028,0.555,0.556091609914857,0.0641474735812018,2.6350695987320982,-1.777199447999229,0.4421428571428571,0.5550923185372016,0.0293947561155322,2.600016664566524,-1.857197999855924,0.1450000000000027,1.177328109741211
39,2024-04-19 14:51:38.328892,0.58,0.7000000000000028,0.58,0.5785747452999926,0.3467062196311788,3.202734981364024,-0.5132522017493042,0.4421428571428571,0.5806241823951612,0.3754120086827553,3.2666442210936424,-0.3718459302855086,0.1200000000000028,1.2011170387268066
40,2024-04-19 14:51:38.353617,0.605,0.7000000000000028,0.605,0.6037615327692841,0.6011276076574158,3.6259653390783457,0.4346384298867335,0.4428571428571428,0.6060628744853966,0.6408799781956114,3.687705972333149,0.5729870021643267,0.0950000000000028,1.225841999053955
