index,date_time,wind_speed,wind_speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
1,2023-09-12 22:37:39.584970,0.58,0.58,352.0,-4.0,0.08,-0.57,-0.04
2,2023-09-12 22:37:39.609921,0.71,0.71,18.0,0.0,-0.22,-0.68,0.0
3,2023-09-12 22:37:39.634876,0.82,0.81,26.0,-2.0,-0.36,-0.73,-0.03
4,2023-09-12 22:37:39.666705,1.15,1.15,21.0,1.0,-0.41,-1.08,0.02
5,2023-09-12 22:37:39.684866,0.85,0.85,12.0,0.0,-0.17,-0.83,0.0
6,2023-09-12 22:37:39.709905,0.58,0.58,18.0,0.0,-0.18,-0.55,0.0
7,2023-09-12 22:37:39.734888,0.63,0.63,26.0,0.0,-0.28,-0.57,0.0
8,2023-09-12 22:37:39.759865,0.54,0.54,37.0,0.0,-0.32,-0.44,0.0
9,2023-09-12 22:37:39.784973,0.71,0.69,83.0,-13.0,-0.68,-0.08,-0.16
10,2023-09-12 22:37:39.809894,0.86,0.86,61.0,0.0,-0.76,-0.42,0.0
11,2023-09-12 22:37:39.834926,0.75,0.75,87.0,-7.0,-0.75,-0.03,-0.1
12,2023-09-12 22:37:39.859887,0.55,0.5,96.0,-24.0,-0.5,0.05,-0.22
13,2023-09-12 22:37:39.884897,0.83,0.82,55.0,4.0,-0.68,-0.47,0.06
14,2023-09-12 22:37:39.909885,0.48,0.48,63.0,-6.0,-0.42,-0.22,-0.05
15,2023-09-12 22:37:39.934874,0.7,0.7,62.0,-0.0,-0.62,-0.33,-0.0
16,2023-09-12 22:37:39.959925,0.68,0.68,59.0,-0.0,-0.59,-0.35,-0.0
17,2023-09-12 22:37:39.984896,0.64,0.63,68.0,-10.0,-0.59,-0.24,-0.11
18,2023-09-12 22:37:40.009904,0.53,0.52,63.0,-6.0,-0.46,-0.24,-0.06
19,2023-09-12 22:37:40.034934,0.52,0.52,69.0,0.0,-0.49,-0.19,0.0
20,2023-09-12 22:37:40.059921,0.18,0.17,89.0,-14.0,-0.17,-0.0,-0.04
21,2023-09-12 22:37:40.084896,0.35,0.33,93.0,-16.0,-0.33,0.02,-0.1
22,2023-09-12 22:37:40.109943,0.67,0.66,85.0,-12.0,-0.65,-0.06,-0.13
23,2023-09-12 22:37:40.134876,0.75,0.74,65.0,2.0,-0.68,-0.31,0.03
24,2023-09-12 22:37:40.159918,0.86,0.85,80.0,-8.0,-0.84,-0.15,-0.12
