Date_Time,N,E,D,gnss status,rtk status,Lon,Lat,Height,hMSL
2025-04-16 11:06:10.105261,-31.49,2.36,-6.34,1.0,1.0,-71056626.0,544812263.0,273593.0,219921.0
2025-04-16 11:06:10.594431,-31.3,2.11,-6.43,1.0,1.0,-71056665.0,544812280.0,273680.0,220009.0
2025-04-16 11:06:11.101508,-31.04,1.88,-6.53,1.0,1.0,-71056700.0,544812304.0,273783.0,220112.0
2025-04-16 11:06:11.598626,-30.86,1.62,-6.61,1.0,1.0,-71056740.0,544812320.0,273861.0,220190.0
2025-04-16 11:06:12.105269,-30.7,1.35,-6.64,1.0,1.0,-71056782.0,544812334.0,273892.0,220220.0
2025-04-16 11:06:12.586723,-30.48,1.07,-6.65,1.0,1.0,-71056825.0,544812354.0,273898.0,220227.0
2025-04-16 11:06:13.101772,-30.28,0.8,-6.64,1.0,1.0,-71056866.0,544812372.0,273890.0,220219.0
2025-04-16 11:06:13.594813,-30.1,0.53,-6.65,1.0,1.0,-71056908.0,544812388.0,273901.0,220230.0
2025-04-16 11:06:14.112257,-29.91,0.29,-6.62,1.0,1.0,-71056946.0,544812405.0,273874.0,220203.0
2025-04-16 11:06:14.594963,-29.75,0.07,-6.6,1.0,1.0,-71056979.0,544812420.0,273851.0,220180.0
2025-04-16 11:06:15.104022,-29.59,-0.11,-6.6,1.0,1.0,-71057009.0,544812434.0,273852.0,220181.0
2025-04-16 11:06:15.595117,-29.43,-0.33,-6.62,1.0,0.0,-71057043.0,544812448.0,273866.0,220195.0
2025-04-16 11:06:16.105244,-29.19,-0.59,-6.62,1.0,1.0,-71057082.0,544812470.0,273875.0,220203.0
2025-04-16 11:06:16.612249,-29.02,-0.86,-6.61,1.0,1.0,-71057124.0,544812485.0,273863.0,220192.0
2025-04-16 11:06:17.094307,-28.9,-1.17,-6.65,1.0,1.0,-71057173.0,544812496.0,273897.0,220226.0
2025-04-16 11:06:17.599400,-28.75,-1.42,-6.66,1.0,1.0,-71057210.0,544812510.0,273914.0,220242.0
2025-04-16 11:06:18.112252,-28.62,-1.65,-6.67,1.0,1.0,-71057247.0,544812521.0,273918.0,220247.0
2025-04-16 11:06:18.601521,-28.51,-1.92,-6.69,1.0,1.0,-71057289.0,544812531.0,273937.0,220266.0
2025-04-16 11:06:19.110613,-28.38,-2.19,-6.69,1.0,1.0,-71057329.0,544812543.0,273944.0,220272.0
2025-04-16 11:06:19.605847,-28.22,-2.42,-6.7,1.0,1.0,-71057366.0,544812557.0,273953.0,220282.0
2025-04-16 11:06:20.112717,-28.12,-2.67,-6.73,1.0,1.0,-71057404.0,544812566.0,273983.0,220311.0
2025-04-16 11:06:20.612256,-28.02,-2.91,-6.77,1.0,1.0,-71057440.0,544812575.0,274016.0,220345.0
2025-04-16 11:06:21.110881,-27.86,-3.13,-6.79,1.0,1.0,-71057474.0,544812589.0,274045.0,220373.0
2025-04-16 11:06:21.612239,-27.69,-3.39,-6.81,1.0,1.0,-71057514.0,544812605.0,274056.0,220385.0
2025-04-16 11:06:22.114972,-27.53,-3.71,-6.83,1.0,1.0,-71057564.0,544812619.0,274084.0,220413.0
2025-04-16 11:06:22.606114,-27.37,-3.99,-6.84,1.0,1.0,-71057607.0,544812633.0,274090.0,220419.0
2025-04-16 11:06:23.109172,-27.21,-4.24,-6.83,1.0,1.0,-71057646.0,544812647.0,274079.0,220408.0
2025-04-16 11:06:23.609242,-27.11,-4.53,-6.84,1.0,1.0,-71057690.0,544812656.0,274090.0,220418.0
2025-04-16 11:06:24.113271,-26.99,-4.83,-6.83,1.0,1.0,-71057736.0,544812667.0,274083.0,220412.0
2025-04-16 11:06:24.612237,-26.84,-5.1,-6.82,1.0,1.0,-71057779.0,544812681.0,274075.0,220403.0
2025-04-16 11:06:25.109441,-26.69,-5.38,-6.85,1.0,1.0,-71057822.0,544812694.0,274100.0,220429.0
2025-04-16 11:06:25.612254,-26.59,-5.68,-6.88,1.0,1.0,-71057868.0,544812704.0,274127.0,220456.0
2025-04-16 11:06:26.103590,-26.47,-5.99,-6.88,1.0,1.0,-71057916.0,544812714.0,274126.0,220455.0
2025-04-16 11:06:26.604634,-26.32,-6.25,-6.89,1.0,1.0,-71057956.0,544812727.0,274136.0,220465.0
2025-04-16 11:06:27.109732,-26.24,-6.5,-6.89,1.0,1.0,-71057994.0,544812735.0,274135.0,220464.0
2025-04-16 11:06:27.600793,-26.15,-6.72,-6.89,1.0,1.0,-71058029.0,544812743.0,274141.0,220470.0
2025-04-16 11:06:28.103859,-26.01,-6.9,-6.92,1.0,0.0,-71058056.0,544812755.0,274167.0,220496.0
2025-04-16 11:06:28.590894,-25.89,-7.06,-6.92,1.0,0.0,-71058081.0,544812766.0,274170.0,220499.0
2025-04-16 11:06:29.108028,-25.85,-7.28,-6.91,1.0,1.0,-71058115.0,544812770.0,274157.0,220486.0
2025-04-16 11:06:29.603096,-25.79,-7.45,-6.88,1.0,1.0,-71058141.0,544812775.0,274131.0,220460.0
2025-04-16 11:06:30.105233,-25.63,-7.57,-6.91,1.0,0.0,-71058159.0,544812789.0,274158.0,220486.0
2025-04-16 11:06:30.595202,-25.53,-7.68,-6.92,1.0,0.0,-71058177.0,544812799.0,274171.0,220499.0
2025-04-16 11:06:31.114237,-25.49,-7.86,-6.88,1.0,1.0,-71058204.0,544812802.0,274134.0,220463.0
2025-04-16 11:06:31.595343,-25.4,-7.99,-6.87,1.0,1.0,-71058225.0,544812810.0,274125.0,220454.0
2025-04-16 11:06:32.124428,-25.34,-8.04,-6.86,1.0,1.0,-71058232.0,544812816.0,274109.0,220438.0
2025-04-16 11:06:32.609504,-25.27,-8.04,-6.85,1.0,1.0,-71058232.0,544812822.0,274098.0,220426.0
2025-04-16 11:06:33.128571,-25.15,-8.07,-6.83,1.0,1.0,-71058237.0,544812833.0,274084.0,220413.0
2025-04-16 11:06:33.609239,-25.04,-8.09,-6.82,1.0,1.0,-71058240.0,544812843.0,274073.0,220402.0
2025-04-16 11:06:34.106710,-24.98,-8.04,-6.79,1.0,1.0,-71058233.0,544812848.0,274039.0,220367.0
2025-04-16 11:06:34.609793,-24.92,-7.96,-6.75,1.0,1.0,-71058220.0,544812853.0,274001.0,220330.0
2025-04-16 11:06:35.110845,-24.8,-7.9,-6.71,1.0,1.0,-71058210.0,544812864.0,273956.0,220284.0
2025-04-16 11:06:35.615895,-24.65,-7.87,-6.68,1.0,1.0,-71058207.0,544812878.0,273929.0,220258.0
2025-04-16 11:06:36.128985,-24.56,-7.79,-6.63,1.0,1.0,-71058194.0,544812885.0,273880.0,220209.0
2025-04-16 11:06:36.610050,-24.46,-7.69,-6.6,1.0,1.0,-71058179.0,544812895.0,273853.0,220182.0
2025-04-16 11:06:37.129135,-24.31,-7.63,-6.56,1.0,1.0,-71058168.0,544812908.0,273815.0,220143.0
2025-04-16 11:06:37.614157,-24.15,-7.58,-6.51,1.0,1.0,-71058162.0,544812922.0,273759.0,220088.0
2025-04-16 11:06:38.105301,-24.01,-7.5,-6.47,1.0,1.0,-71058149.0,544812935.0,273718.0,220047.0
2025-04-16 11:06:38.612307,-23.87,-7.38,-6.43,1.0,1.0,-71058131.0,544812947.0,273678.0,220006.0
2025-04-16 11:06:39.115435,-23.73,-7.29,-6.39,1.0,1.0,-71058116.0,544812961.0,273638.0,219966.0
2025-04-16 11:06:39.600495,-23.56,-7.24,-6.35,1.0,1.0,-71058108.0,544812975.0,273599.0,219928.0
2025-04-16 11:06:40.127562,-23.4,-7.19,-6.33,1.0,1.0,-71058101.0,544812990.0,273577.0,219906.0
2025-04-16 11:06:40.601249,-23.26,-7.1,-6.28,1.0,1.0,-71058088.0,544813003.0,273527.0,219856.0
2025-04-16 11:06:41.107669,-23.1,-7.03,-6.24,1.0,1.0,-71058076.0,544813017.0,273495.0,219823.0
2025-04-16 11:06:41.606734,-22.91,-6.97,-6.21,1.0,1.0,-71058068.0,544813034.0,273456.0,219785.0
2025-04-16 11:06:42.111825,-22.69,-6.92,-6.17,1.0,1.0,-71058060.0,544813054.0,273423.0,219751.0
2025-04-16 11:06:42.602911,-22.52,-6.83,-6.13,1.0,1.0,-71058046.0,544813069.0,273381.0,219710.0
2025-04-16 11:06:43.108033,-22.35,-6.73,-6.11,1.0,1.0,-71058030.0,544813084.0,273363.0,219692.0
2025-04-16 11:06:43.603043,-22.15,-6.65,-6.09,1.0,1.0,-71058017.0,544813102.0,273340.0,219669.0
2025-04-16 11:06:44.098111,-21.94,-6.6,-6.07,1.0,1.0,-71058010.0,544813121.0,273319.0,219648.0
2025-04-16 11:06:44.601180,-21.77,-6.51,-6.03,1.0,1.0,-71057996.0,544813136.0,273278.0,219607.0
2025-04-16 11:06:45.108259,-21.61,-6.37,-6.01,1.0,1.0,-71057975.0,544813151.0,273262.0,219591.0
2025-04-16 11:06:45.595319,-21.45,-6.27,-5.98,1.0,1.0,-71057960.0,544813165.0,273228.0,219557.0
2025-04-16 11:06:46.109226,-21.23,-6.22,-5.95,1.0,1.0,-71057951.0,544813185.0,273202.0,219531.0
2025-04-16 11:06:46.612228,-21.02,-6.15,-5.94,1.0,1.0,-71057941.0,544813204.0,273188.0,219516.0
2025-04-16 11:06:47.105224,-20.83,-6.07,-5.9,1.0,1.0,-71057929.0,544813221.0,273146.0,219475.0
2025-04-16 11:06:47.599612,-20.61,-5.99,-5.85,1.0,1.0,-71057916.0,544813240.0,273105.0,219433.0
2025-04-16 11:06:48.106673,-20.43,-5.94,-5.76,1.0,1.0,-71057908.0,544813257.0,273008.0,219336.0
2025-04-16 11:06:48.589715,-20.27,-5.83,-5.65,1.0,1.0,-71057892.0,544813272.0,272902.0,219230.0
2025-04-16 11:06:49.106825,-20.06,-5.71,-5.58,1.0,1.0,-71057873.0,544813290.0,272829.0,219158.0
2025-04-16 11:06:49.589832,-19.87,-5.62,-5.51,1.0,1.0,-71057858.0,544813307.0,272762.0,219090.0
2025-04-16 11:06:50.103026,-19.67,-5.54,-5.46,1.0,1.0,-71057846.0,544813325.0,272710.0,219038.0
