Date_Time,N,E,D,gnss status,rtk status,Lon,Lat,Height,hMSL
2025-04-16 11:51:06.510620,-10.81,8.58,-1.03,1.0,1.0,-71055667.0,544814121.0,268278.0,214607.0
2025-04-16 11:51:06.928869,-12.18,9.42,-1.56,1.0,1.0,-71055537.0,544813998.0,268808.0,215137.0
2025-04-16 11:51:07.446344,-12.42,9.5,-1.58,1.0,1.0,-71055525.0,544813976.0,268830.0,215158.0
2025-04-16 11:51:07.937386,-12.6,9.57,-1.51,1.0,0.0,-71055514.0,544813960.0,268757.0,215086.0
2025-04-16 11:51:08.442501,-12.69,9.7,-1.43,1.0,0.0,-71055494.0,544813952.0,268685.0,215014.0
2025-04-16 11:51:08.937542,-12.8,9.88,-1.41,1.0,0.0,-71055466.0,544813942.0,268665.0,214994.0
2025-04-16 11:51:09.446547,-12.97,10.04,-1.42,1.0,0.0,-71055442.0,544813927.0,268669.0,214998.0
2025-04-16 11:51:09.943634,-13.13,10.23,-1.48,1.0,1.0,-71055413.0,544813912.0,268731.0,215060.0
2025-04-16 11:51:10.446648,-13.31,10.36,-1.49,1.0,1.0,-71055392.0,544813896.0,268743.0,215072.0
2025-04-16 11:51:10.945716,-13.49,10.56,-1.51,1.0,1.0,-71055362.0,544813881.0,268760.0,215089.0
2025-04-16 11:51:11.448800,-13.68,10.74,-1.55,1.0,1.0,-71055334.0,544813863.0,268804.0,215133.0
2025-04-16 11:51:11.943870,-13.9,10.82,-1.63,1.0,0.0,-71055321.0,544813843.0,268875.0,215204.0
2025-04-16 11:51:12.452954,-14.09,10.94,-1.66,1.0,0.0,-71055303.0,544813826.0,268909.0,215238.0
2025-04-16 11:51:12.944026,-14.25,11.11,-1.75,1.0,1.0,-71055277.0,544813812.0,269005.0,215333.0
2025-04-16 11:51:13.445080,-14.43,11.23,-1.8,1.0,1.0,-71055257.0,544813796.0,269052.0,215381.0
2025-04-16 11:51:13.940139,-14.67,11.34,-1.85,1.0,1.0,-71055241.0,544813774.0,269104.0,215433.0
2025-04-16 11:51:14.459202,-14.91,11.46,-1.88,1.0,1.0,-71055223.0,544813753.0,269129.0,215458.0
