Date_Time,Latitude,Longitude,Altitude
2024-03-13 17:20:40.667455,54.57887116666667,-5.929846666666666,2.0
2024-03-13 17:20:40.683910,54.57887116666667,-5.929846666666666,2.0
2024-03-13 17:20:40.880598,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:41.291083,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:41.313006,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:41.474847,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:41.531601,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:41.596443,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:41.674929,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:41.785000,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:41.963649,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:42.066236,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:42.275376,54.57887116666668,-5.929846666666666,16.666666666666668
2024-03-13 17:20:42.386879,54.57887116666668,-5.929846666666666,17.333333333333332
2024-03-13 17:20:42.412561,54.57887116666668,-5.929846666666666,31.0
2024-03-13 17:20:42.527987,54.57887116666668,-5.929846666666666,42.0
2024-03-13 17:20:42.567716,54.57887116666668,-5.929846666666666,55.0
2024-03-13 17:20:42.624849,54.57887116666668,-5.929846666666666,41.333333333333336
2024-03-13 17:20:42.681543,54.57887116666668,-5.929846666666666,15.666666666666666
2024-03-13 17:20:42.844006,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:42.886109,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:42.972191,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.041098,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.120447,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.218925,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.287646,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.388339,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.516985,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.633347,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.678684,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.733665,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:43.923893,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.290042,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.332453,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.421367,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.504521,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.508056,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.612794,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.753103,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.778431,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.904537,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:44.975437,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.076118,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.118787,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.183682,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.241962,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.327626,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.379833,54.57887116666668,-5.929846666666666,16.666666666666668
2024-03-13 17:20:45.437690,54.57887116666668,-5.929846666666666,17.333333333333332
2024-03-13 17:20:45.486936,54.57887116666668,-5.929846666666666,31.0
2024-03-13 17:20:45.608787,54.57887116666668,-5.929846666666666,42.0
2024-03-13 17:20:45.664861,54.57887116666668,-5.929846666666666,55.0
2024-03-13 17:20:45.709323,54.57887116666668,-5.929846666666666,41.333333333333336
2024-03-13 17:20:45.761496,54.57887116666668,-5.929846666666666,15.666666666666666
2024-03-13 17:20:45.857681,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.863353,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.926136,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.942820,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:45.953689,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.037021,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.090780,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.123234,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.179052,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.224356,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.248859,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.278648,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.331284,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.397021,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.444560,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.487388,54.57887116666668,-5.929846666666666,2.0
2024-03-13 17:20:46.516200,54.57887111111112,-5.929846666666666,2.0
2024-03-13 17:20:46.537492,54.57887105555556,-5.929846666666666,2.0
2024-03-13 17:20:46.626064,54.578871,-5.929846666666666,2.0
2024-03-13 17:20:46.755972,54.578871,-5.929846666666666,2.0
