datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-12 15:41:44.512559,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.536423,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.559371,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.582572,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.605226,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.628057,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.651399,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.674311,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.697305,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.720355,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.743034,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.766459,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.790095,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.813024,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.839795,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.866036,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.892382,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.919405,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.942947,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.965975,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:44.989679,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.012792,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.035691,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.059039,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.082008,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.104786,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.129104,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.152148,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.175223,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.198705,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.221721,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.244568,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.271894,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.299528,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.324856,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.347809,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.370600,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.394181,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.417021,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.440327,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.463841,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.486482,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.509725,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.533163,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.556023,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.579151,nan,nan,0.6,0.0,3.0,-1.0,0.0
2024-04-12 15:41:45.602478,nan,nan,0.6,0.0,3.0,-1.0,0.0
