datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-10 15:33:53.743597,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.767442,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.791349,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.814198,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.837159,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.861479,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.884353,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.907072,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.929760,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.952435,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.975144,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:53.999148,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.021853,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.047569,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.070302,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.095035,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.117707,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.141104,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.165591,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.190154,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.219158,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.243916,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.266788,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.289270,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.312145,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.335213,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.357890,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.381078,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.403821,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.426666,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.450808,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.473905,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.496535,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.519705,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.542254,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.564940,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.588855,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.611470,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.634282,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.662153,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.686530,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.709202,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.732011,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.755609,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.778730,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.801959,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.825342,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.848332,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.871519,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.895203,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.918211,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.941737,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.967863,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:54.993331,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.018459,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.043602,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.066857,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.090367,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.113321,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.137009,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.160623,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.183828,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.208693,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.231832,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.257226,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.280345,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.306353,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.329273,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.352148,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.375754,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.399334,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.422325,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.445759,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.469738,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.492948,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.516195,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.540539,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.563745,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.587009,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.611535,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.634605,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.657910,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.681187,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.703983,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.726640,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.750234,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.772762,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.795821,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.819057,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.841695,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.864939,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.887970,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.910522,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.933785,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.956603,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:55.979073,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.002039,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.024749,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.047729,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.070808,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.093412,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.116616,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.139410,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.162084,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.185205,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.207714,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.230233,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.252833,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.277944,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.300732,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.326101,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.348812,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.371424,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.394547,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.417028,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.439987,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.463378,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.486050,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.509217,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.532315,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.554941,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.578643,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.601290,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.624118,nan,nan,1.0,0.0,20.0,-10.0,0.0
2024-04-10 15:33:56.647211,nan,nan,1.0,0.0,20.0,-10.0,0.0
