timestamp,throttle_ref,yaw,pitch,roll,tof_measurement,accX,accY,accZ,altitude_ref,RC_data,mot_FL,mot_FR,mot_BL,mot_BR,KF_altitutde_est,KF_velocity_z_est,KF_alpha_est,KF_beta_est
3478.876497,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.390,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3505.383183,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.39,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3580.718571,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.390,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3594.294349,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.390,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3643.868016,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.39,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3675.946664,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.390,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3712.834757,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.390,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3766.764164,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.390,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3792.726979,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.390,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3844.162701,0.0,0.0,0.0,0.0,[-1.],0.0,0.0,0.0,-1,"0.0,0.0,0.0,1000.,0.390,0.34,0.134,1.0,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
