datetime,z_ref,z,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-09 18:49:52.379225,1.37,1.315,1.3694428677329429,0.0944671609015476,4.074833364757089,-1.6646842586894093,0.39071428571428574
2024-04-09 18:49:52.405685,1.37,1.315,1.3701604834344348,0.08800488840037411,4.074789424689194,-1.6647066424611734,0.39071428571428574
2024-04-09 18:49:52.430490,1.37,1.315,1.3701648755466351,0.08136124283666177,4.074744288530631,-1.6647296360380957,0.39071428571428574
2024-04-09 18:49:52.453831,1.375,1.315,1.3748159889069886,0.08880056332836629,4.0747946560136565,-1.6647039769283927,0.3892857142857143
2024-04-09 18:49:52.477689,1.375,1.315,1.3751485465707853,0.08281672292138795,4.0747540016809305,-1.6647246882380455,0.3892857142857143
2024-04-09 18:49:52.502136,1.37,1.315,1.3704403513436536,0.06504686671029483,4.074633503203109,-1.6647860773953496,0.39071428571428574
2024-04-09 18:49:52.525468,1.375,1.315,1.3747323871509194,0.07585161970193438,4.0747067227926586,-1.6647487741356193,0.3892857142857143
2024-04-09 18:49:52.549231,1.375,1.315,1.375063560177343,0.07329123113184048,4.074689335034659,-1.6647576328859288,0.3892857142857143
2024-04-09 18:49:52.573510,1.385,1.315,1.3844517923669786,0.09543074644472894,4.074839283418257,-1.6646812352290867,0.38642857142857145
2024-04-09 18:49:52.597645,1.375,1.315,1.3757833701030784,0.0638185978688337,4.074625042711796,-1.6647903917323406,0.3892857142857143
2024-04-09 18:49:52.620975,1.375,1.315,1.3750541559542124,0.061630429458783234,4.074610233922134,-1.6647979370331305,0.3892857142857143
2024-04-09 18:49:52.644811,1.385,1.315,1.384379320993932,0.08668884984334037,4.074779932743702,-1.6647114710695825,0.38642857142857145
2024-04-09 18:49:52.668564,1.375,1.315,1.3757250073391383,0.05742781122589205,4.074581737760905,-1.664812458745622,0.3892857142857143
2024-04-09 18:49:52.692215,1.385,1.315,1.384394761781174,0.08186014181111138,4.074747168094544,-1.6647281640538583,0.38642857142857145
2024-04-09 18:49:52.715480,1.37,1.315,1.3710043871417041,0.04131555364878149,4.074472676811262,-1.6648680335450312,0.39071428571428574
2024-04-09 18:49:52.739099,1.375,1.315,1.3746208447925474,0.05660926697533518,4.074576282383877,-1.6648152392608955,0.39
2024-04-09 18:49:52.764762,1.375,1.315,1.3749380511622364,0.05910460455645206,4.074593207746979,-1.664806614419175,0.39
2024-04-09 18:49:52.788764,1.375,1.315,1.3749729879851915,0.05989980422393932,4.074600586799753,-1.6648028541139195,0.39
2024-04-09 18:49:52.813226,1.385,1.315,1.3843636483405282,0.08528737326815876,4.074013034448147,-1.6644032382043907,0.38642857142857145
2024-04-09 18:49:52.836692,1.385,1.315,1.3850990779387262,0.08101138470485444,4.074200857974376,-1.6645048132106106,0.38642857142857145
2024-04-09 18:49:52.860261,1.385,1.315,1.385118026840915,0.07626074063467715,4.074509151259184,-1.664660351306528,0.38642857142857145
2024-04-09 18:49:52.884741,1.375,1.315,1.3757062693879245,0.047774376861038435,4.075877563742156,-1.6653964374914783,0.3892857142857143
2024-04-09 18:49:52.908301,1.385,1.315,1.3843339632948175,0.07463947480135588,4.074981922532366,-1.6648635998481838,0.38642857142857145
2024-04-09 18:49:52.935149,1.385,1.315,1.3850315030156415,0.07337380615513754,4.075010408082543,-1.6648831322277047,0.38642857142857145
2024-04-09 18:49:52.959155,1.385,1.315,1.3850666924499289,0.07068681265490223,4.075049256844816,-1.6649157152030905,0.38642857142857145
2024-04-09 18:49:52.982569,1.385,1.315,1.385052290143634,0.06857929248385268,4.07506745544765,-1.6649362513000174,0.38642857142857145
2024-04-09 18:49:53.006993,1.385,1.315,1.3850384059432799,0.06703083107892661,4.075074260197309,-1.6649486527183228,0.38642857142857145
2024-04-09 18:49:53.032015,1.385,1.315,1.3850280018510963,0.06590136780587912,4.075075735726978,-1.66495626965861,0.38642857142857145
2024-04-09 18:49:53.055412,1.385,1.315,1.3850203962709842,0.0650782269235195,4.075074960566825,-1.6649610613637078,0.38642857142857145
2024-04-09 18:49:53.079250,1.375,1.315,1.375631248990905,0.03959178060955692,4.075009257522072,-1.6650923000867774,0.39
2024-04-09 18:49:53.104590,1.385,1.315,1.3842789679058014,0.06868750559141856,4.075119015438999,-1.6649565981272698,0.38642857142857145
2024-04-09 18:49:53.128110,1.375,1.315,1.375607797884352,0.044149363812854274,4.075005181058733,-1.6650622623645022,0.39
2024-04-09 18:49:53.151875,1.375,1.315,1.374922021192972,0.0472846769174541,4.075021777331917,-1.6650495220489636,0.39
2024-04-09 18:49:53.176472,1.37,1.315,1.3702072790424962,0.038904321001389575,4.074973806751514,-1.6650818061023622,0.3914285714285714
2024-04-09 18:49:53.200981,1.36,1.315,1.360481393107226,0.019450984265453285,4.074855879231311,-1.665154105531961,0.3942857142857143
2024-04-09 18:49:53.224582,1.37,1.315,1.3691455594959754,0.053921932488864836,4.075073613797238,-1.665029246195148,0.3914285714285714
2024-04-09 18:49:53.249389,1.36,1.315,1.3605085364957987,0.033381855905564875,4.074940378713227,-1.6651020529454772,0.3942857142857143
2024-04-09 18:49:53.274222,1.37,1.315,1.369233120626357,0.06432616842621396,4.075145296641637,-1.6649939168602388,0.3914285714285714
2024-04-09 18:49:53.298787,1.36,1.315,1.3605780783416388,0.040984619647855325,4.074988639077167,-1.6650745179363085,0.3942857142857143
2024-04-09 18:49:53.323809,1.36,1.315,1.359900677561573,0.0449798854305957,4.075015828098794,-1.6650607841001879,0.3942857142857143
