datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-11 14:05:18.240610,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.266187,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.304163,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.331877,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.368146,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.399831,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.431887,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.461313,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.492100,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.527248,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.555207,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.581078,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.610299,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.639561,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.667444,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.693007,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.723293,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.751398,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.781613,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.809976,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.838755,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.867529,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.895646,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.924257,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.955040,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:18.981655,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.008881,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.039030,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.066537,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.103432,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.133688,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.161276,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.188924,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.222104,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.247854,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.273162,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.300074,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.327878,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.355889,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.381052,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.421094,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.448374,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.484854,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.519798,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.559405,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.589187,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.616876,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.645972,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.674662,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.702198,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.732575,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.778463,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.818629,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.847736,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.881492,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.914385,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.943328,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:19.976284,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.003307,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.037151,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.064590,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.114364,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.143463,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.196792,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.247829,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.279225,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.315716,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.345755,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.380202,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.422735,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.471123,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.534139,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.609112,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.666271,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.704713,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.750588,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.786464,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.843427,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.875947,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.908384,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.947581,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:20.987468,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.013764,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.038052,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.063573,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.090274,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.116203,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.142825,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.169460,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.210005,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.239416,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.283425,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.308990,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.332719,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.360308,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.389592,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.415826,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.442868,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.471768,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.503031,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.530101,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.556364,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.582609,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.612015,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.642323,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.671826,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.699827,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.724767,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.750251,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.801234,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.833247,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.862232,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.902126,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.928464,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.955410,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:21.991695,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.019576,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.052918,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.082820,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.122195,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.155639,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.180738,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.215945,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.244286,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.268890,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.295218,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.321344,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.355902,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.393926,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.432737,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.462691,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.499607,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.525912,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.558341,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.586806,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.622782,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.649398,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.677983,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.702215,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.732977,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.766174,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.797758,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.838955,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.872707,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.911566,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.940035,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.968704,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:22.997501,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:23.030236,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:23.062012,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:23.096341,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:23.125301,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:23.174695,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:23.206176,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:23.235760,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:23.270460,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 14:05:23.298973,nan,nan,0.0,0.0,20.0,-10.0,0.0
