datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-11 13:56:59.373568,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.397734,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.420622,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.443950,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.468503,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.491121,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.514132,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.538560,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.561339,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.584299,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.608503,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.631292,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.654101,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.678289,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.701427,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.724433,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.748923,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.771824,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:59.794387,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:56:59.818903,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:56:59.841601,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:56:59.864439,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:56:59.888837,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:56:59.911540,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:56:59.935712,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:56:59.959132,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:56:59.981848,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:57:00.004681,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:57:00.027313,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:57:00.050049,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:57:00.072681,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:57:00.095330,nan,nan,0.0,0.0,20.0,-10.0,0.004285714285714286
2024-04-11 13:57:00.118111,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.141507,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.164306,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.186846,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.210584,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.233230,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.256057,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.279200,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.301850,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.325084,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.348266,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.371060,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.394063,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.416688,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.439284,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.462710,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.485270,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.508209,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:57:00.530861,nan,nan,0.0,0.0,20.0,-10.0,0.0
