datetime,z_tof,z_bar,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,z_hat_2,v_hat_2,alpha_1_2,alpha_0_2,d_bar,d_gnss
2024-04-24 12:02:20.105647,nan,-0.11156471202177634,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.137901,nan,-0.11156471202177634,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.173612,nan,-0.11156471202177634,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.211592,nan,-0.11156471202177634,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.238568,nan,-0.11156471202177634,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.267256,nan,-0.03938914107903755,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.295737,nan,0.1346743309591647,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.325645,nan,0.1346743309591647,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.354470,nan,0.1346743309591647,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.384753,nan,0.1346743309591647,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.413637,nan,-0.06056713121255218,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.440605,nan,-0.30681827720122906,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.467268,nan,-0.30681827720122906,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.494609,nan,-0.30681827720122906,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.521475,nan,-0.06056713121255218,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.546054,nan,-0.06056713121255218,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.572761,nan,-0.3789082644981246,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.599121,nan,0.06256107604366877,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.633406,nan,0.18569103954008226,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.666806,nan,0.18569103954008226,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.696760,nan,0.18569103954008226,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.721949,nan,0.18569103954008226,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.751177,nan,0.18569103954008226,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.781806,nan,0.3088227593311068,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.815209,nan,0.3088227593311068,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.841796,nan,0.3088227593311068,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.868318,nan,0.3959288295586167,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.894862,nan,0.3959288295586167,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.928676,nan,0.3959288295586167,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.961822,nan,0.48305613576404044,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:20.993615,nan,0.23677181064072006,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.025393,nan,0.23677181064072006,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.055063,nan,0.11363228283875479,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.088574,nan,0.11363228283875479,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.120137,nan,0.11363228283875479,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.145345,nan,-0.13264150350358722,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.170780,nan,-0.045521265148332934,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.199239,nan,0.11363228283875479,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.224258,nan,0.11363228283875479,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.255316,nan,0.11363228283875479,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.281517,nan,-0.045521265148332934,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.308433,nan,0.11363228283875479,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:02:21.337402,nan,0.11363228283875479,nan,0.5,0.0,3.0,-1.0,0.0,0.5,0.0,3.0,-1.0,0.0,0.0
